objectid,accession_number,filename,youtubeid,vimeoid,title,creator,date,attribution,medium,dimensions,edition,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll076,JSUART-1966-003,catalog-thumbs/fig-097_kojin-toneyama-sunset-191-210-1966.png,,,Sunset,Kojin Toneyama,1966,,Lithograph in color,17 x 21.75 in,ed. 191/210,"A boldly abstract lithograph on paper, dominated by a vibrant yellow ground. Across the surface, thick black brush–like strokes swirl into a loose horizon line. Spontaneous splatters of red and gestural grays animate the mid‑ground, giving the work a dynamic, almost musical energy.",Abstract,"Jackson, Mississippi, United States",32.2988,-90.1848,JSU Department of Art collection catalog,Fig. 97,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll078,JSUART-2008-001,catalog-thumbs/fig-079_jerry-and-terry-lynn-aka-twin-red-manse-2008.png,,,Red Manse,Jerry and Terry Lynn (Twin),2008,,Oil on canvas,48 x 48 in,,"A serene and atmospheric painting of an old cabin in an autumnal landscape. The texture-rich brushstrokes and earthy tones create a nostalgic and rustic ambiance, highlighting themes of solitude and memory.",Landscape,"Ibaraki prefecture, Japan",36.3418,140.4468,JSU Department of Art collection catalog,Fig. 79,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll082,JSUART-1987-001,catalog-thumbs/fig-067_mary-lovelace-o-neal-chairs-and-tables-or-workshop-in-painting-april-1987-oil.png,,,Chairs and Tables or Workshop in Painting,Mary Lovelace O’Neal,April 1987,,Oil,,,"An energetic abstract painting of overlapping, organic shapes. Broad, gestural brushstrokes in teal, mustard, crimson and deep navy form a series of undulating, partially circular forms that seem to float against a darker field. ",Still Life,"Memphis, Tennessee, United States",35.1495,-90.049,JSU Department of Art collection catalog,Fig. 67,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll083,JSUART-1972-001,catalog-thumbs/fig-025_vase-by-marcus-douyon-1972.png,,,Vase,Marcus Douyon,1972,,Ceramic,,,"A handcrafted vessel with an earthy, rustic glaze, this ceramic piece highlights the natural beauty of texture and form. ",Ceramics,"Jackson, Mississippi, United States",32.2988,-90.1848,JSU Department of Art collection catalog,Fig. 25,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll084,JSUART-1999-001,catalog-thumbs/fig-044_dr-chalmers-mayers-jr-composition-number-one-acrylic-and-collage-on-board.png,,,Composition Number One,Chalmers W. Mayers Jr.,1999,,Acrylic and collage on board,,,"A layered mixed-media collage that appears to map historical and cultural intersections. The surface is textured with deep hues of red, brown, and purple, incorporating text that references various countries such as Zimbabwe, Sudan, and Poland. Embedded photographic fragments add a historical dimension, exploring themes of migration, colonialism, or diaspora.",Abstract,"Jackson, Mississippi, United States",32.2988,-90.1848,JSU Department of Art collection catalog,Fig. 44,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll085,JSUART-1946-001,catalog-thumbs/fig-001_paul-b-johnson-hall-of-social-science.png,,,Paul B. Johnson Hall of Social Science,,1946,,,,,Documentation image or catalog figure included in the public-facing JSU art database.,Documentation,,,,JSU Department of Art collection catalog,Fig. 1,Documentation Image,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll086,JSUART-2021-023,catalog-thumbs/fig-002_social-sciences-building-later-johnson-hall-jackson-state-university-1944-photograph.png,,,"Social Sciences Building, later Johnson Hall, Jackson State University",,n.d.,,Photograph,,,Documentation image or catalog figure included in the public-facing JSU art database.,Documentation,,,,JSU Department of Art collection catalog,Fig. 2,Documentation Image,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll087,JSUART-2021-024,catalog-thumbs/fig-003_president-jacob-l-reddix-receiving-a-citation-from-governor-paul-b-johnson-jr-with-a-portrait-of-governor.png,,,"President Jacob L. Reddix receiving a citation from Governor Paul B. Johnson Jr., with portrait of Governor Paul B. Johnson Sr. in the background",,n.d.,,Photograph,,,Documentation image or catalog figure included in the public-facing JSU art database.,Documentation,,,,JSU Department of Art collection catalog,Fig. 3,Documentation Image,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll088,JSUART-1944-001,catalog-thumbs/fig-006_vertis-hayes-in-front-of-the-carver-mural-johnson-hall.png,,,"Vertis Hayes in front of the Carver Mural, Johnson Hall, Jackson State University",Photographer unknown,1944,,Photograph,,,Documentation image or catalog figure included in the public-facing JSU art database.,Mural,,,,JSU Department of Art collection catalog,Fig. 6,Documentation Image,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll089,JSUART-1944-002,catalog-thumbs/fig-007_vertis-hayes-the-carver-mural.png,,,The Carver Mural,Vertis Hayes,1944,,Full-scale reproduction after original,,,Documentation image or catalog figure included in the public-facing JSU art database.,Mural,,,,JSU Department of Art collection catalog,Fig. 7,Documentation Image,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll090,JSUART-1944-003,catalog-thumbs/fig-008_detail-of-the-carver-mural-1944.png,,,Detail of The Carver Mural,,1944,,Full-scale reproduction after original,,,Documentation image or catalog figure included in the public-facing JSU art database.,Mural,,,,JSU Department of Art collection catalog,Fig. 8,Documentation Image,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll091,JSUART-2021-025,catalog-thumbs/fig-009_applied-textiles-and-craft-display-associated-with-maria-joness-teaching-jackson-state-university-department-of-art-n-d-photograph.png,,,"Applied arts or crafts display associated with Maria Jones’s teaching, Jackson State University Department of Art",,n.d.,,Photograph,,,Documentation image or catalog figure included in the public-facing JSU art database.,Documentation,,,,JSU Department of Art collection catalog,Fig. 9,Documentation Image,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll092,JSUART-2021-026,catalog-thumbs/fig-010_lawrence-a-jones-leading-a-painting-class-jackson-state-university-department-of-art-n-d-photograph.png,,,"Lawrence A. Jones leading a painting class, Jackson State University Department of Art",,n.d.,,Photograph,,,Documentation image or catalog figure included in the public-facing JSU art database.,Documentation,,,,JSU Department of Art collection catalog,Fig. 10,Documentation Image,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll093,JSUART-2021-027,catalog-thumbs/fig-011_freshman-art-majors-jackson-state-university-1952-yearbook-photograph.png,,,"Freshman art majors, Jackson State University",,n.d.,,Yearbook photograph,,,Documentation image or catalog figure included in the public-facing JSU art database.,Documentation,,,,JSU Department of Art collection catalog,Fig. 11,Documentation Image,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll094,JSUART-2021-028,catalog-thumbs/fig-013_lawrence-a-jones-unveiling-a-portrait-of-dr-h-t-sampson-jackson-state-university-n-d-photograph.png,,,"Lawrence A. Jones unveiling a portrait of Dr. H. T. Sampson, Jackson State University",,n.d.,,Photograph,,,Documentation image or catalog figure included in the public-facing JSU art database.,Documentation,,,,JSU Department of Art collection catalog,Fig. 13,Documentation Image,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll095,JSUART-2021-029,catalog-thumbs/fig-014_lawrence-a-jones-in-his-home-studio-jackson-state-university-n-d-photograph.png,,,"Lawrence A. Jones in his studio, Jackson State University Department of Art",,n.d.,,Photograph,,,Documentation image or catalog figure included in the public-facing JSU art database.,Documentation,,,,JSU Department of Art collection catalog,Fig. 14,Documentation Image,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll096,JSUART-2021-030,catalog-thumbs/fig-015_maria-jones-jackson-state-university-n-d-yearbook-portrait.png,,,"Maria Jones, Jackson State University",,n.d.,,Yearbook portrait,,,Documentation image or catalog figure included in the public-facing JSU art database.,Documentation,,,,JSU Department of Art collection catalog,Fig. 15,Documentation Image,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll097,JSUART-2021-031,catalog-thumbs/fig-016_lawrence-a-jones-jackson-state-university-n-d-yearbook-portrait.png,,,"Lawrence A. Jones, Jackson State University",,n.d.,,Yearbook portrait,,,Documentation image or catalog figure included in the public-facing JSU art database.,Documentation,,,,JSU Department of Art collection catalog,Fig. 16,Documentation Image,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll098,JSUART-2021-032,catalog-thumbs/fig-017_karl-griffin-center-with-colleagues-and-african-art-objects-jackson-state-university-n-d-photograph.png,,,"Karl Griffin with colleagues and African art objects, Jackson State University",,n.d.,,Photograph,,,Documentation image or catalog figure included in the public-facing JSU art database.,Documentation,,,,JSU Department of Art collection catalog,Fig. 17,Documentation Image,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll099,JSUART-2021-033,catalog-thumbs/fig-022_marcus-douyon-shaping-a-vase-in-the-ceramics-studio-jackson-state-university-n-d-photograph.png,,,"Marcus Douyon shaping a vase in the ceramics shop, Jackson State University",,n.d.,,Yearbook photograph,,,Documentation image or catalog figure included in the public-facing JSU art database.,Documentation,,,,JSU Department of Art collection catalog,Fig. 22,Documentation Image,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll100,JSUART-2021-034,catalog-thumbs/fig-023_students-working-in-the-ceramics-studio-jackson-state-university-department-of-art-n-d-photograph.png,,,"Students working in the ceramics studio, Jackson State University Department of Art",,n.d.,,Photograph,,,Documentation image or catalog figure included in the public-facing JSU art database.,Documentation,,,,JSU Department of Art collection catalog,Fig. 23,Documentation Image,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll101,JSUART-2021-035,catalog-thumbs/fig-024_marcus-douyon-jackson-state-university-n-d-yearbook-portrait.png,,,"Marcus Douyon, Jackson State University",,n.d.,,Yearbook portrait,,,Documentation image or catalog figure included in the public-facing JSU art database.,Documentation,,,,JSU Department of Art collection catalog,Fig. 24,Documentation Image,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll102,JSUART-1973-002,catalog-thumbs/fig-026_lawrence-a-jones-unveiling-elizabeth-catletts-portrait-of-phillis-wheatley-with-margaret-walker-presiding-phillis-wheatley-poetry-festival.png,,,"Lawrence A. Jones unveiling Elizabeth Catlett’s portrait of Phillis Wheatley, with Margaret Walker presiding, during the",,1973,,"Phillis Wheatley Poetry Festival, Jackson State University. Photograph",Photograph,,Documentation image or catalog figure included in the public-facing JSU art database.,Portraiture,,,,JSU Department of Art collection catalog,Fig. 26,Documentation Image,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll103,JSUART-2021-036,catalog-thumbs/fig-027_department-of-art-faculty-and-staff-in-a-gallery-space-jackson-state-university-n-d-photograph.png,,,"Department of Art faculty and staff in gallery space, Jackson State University",,n.d.,,Photograph,,,Documentation image or catalog figure included in the public-facing JSU art database.,Documentation,,,,JSU Department of Art collection catalog,Fig. 27,Documentation Image,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll104,JSUART-1970-002,catalog-thumbs/fig-028_photograph-of-hugh-e-stevens-with-still-life-outside-of-johnson-hall-c.png,,,Hugh E. Stevens with Still Life outside Johnson Hall,Photographer unknown,c. 1970,,"Photograph. Department of Art Archives, Jackson State University","Department of Art Archives, Jackson State University",,Documentation image or catalog figure included in the public-facing JSU art database.,Documentation,,,,JSU Department of Art collection catalog,Fig. 28,Documentation Image,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll105,JSUART-2021-037,catalog-thumbs/fig-030_department-of-art-faculty-jackson-state-university-n-d-from-left-roy-farmer-assistant-professor-willie-cook-associate-professor.png,,,"Department of Art faculty, including Floyd Coleman, Jackson State University",,n.d.,,Yearbook photograph,,,Documentation image or catalog figure included in the public-facing JSU art database.,Documentation,,,,JSU Department of Art collection catalog,Fig. 30,Documentation Image,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll107,JSUART-2021-038,catalog-thumbs/fig-042_brutus-quinn-and-peers-at-jackson-state-university-brutus-quinn-and-peers-at-jackson-state-university.png,,,"Photographer unknown, Brutus Quinn and peers at Jackson State University",,n.d.,,Photograph,,,Documentation image or catalog figure included in the public-facing JSU art database.,Documentation,,,,JSU Department of Art collection catalog,Fig. 42,Documentation Image,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll108,JSUART-1982-001,catalog-thumbs/fig-043_brutus-quinn-my-madonna-ca-1982-oil-on-canvas-51-x-35-5-in.png,,,My Madonna,Brutus Quinn,c. 1982,,Oil on canvas,51 x 35.5 in,,Documentation image or catalog figure included in the public-facing JSU art database.,,,,,JSU Department of Art collection catalog,Fig. 43,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll109,JSUART-2021-039,catalog-thumbs/fig-045_john-jennings-stoneye-jackson.png,,,Stoneye Jackson,John Jennings,n.d.,,,,,Documentation image or catalog figure included in the public-facing JSU art database.,,,,,JSU Department of Art collection catalog,Fig. 45,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll110,JSUART-2021-040,catalog-thumbs/fig-046_john-jennings-the-roach-created-by-robert-roach-ca-2007-medium-and-dimensions-unknown.png,,,The Roach (created by Robert Roach),John Jennings,n.d.,,,,,Documentation image or catalog figure included in the public-facing JSU art database.,,,,,JSU Department of Art collection catalog,Fig. 46,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll111,JSUART-2007-001,catalog-thumbs/fig-047_exhibition-poster-captain-america-by-mshindo-i-kuumba-other-heroes-african-american-comic-book-creators-and-characters.png,,,"Exhibition poster for Other Heroes: African American Comic Book Creators and Characters, featuring Captain America by Mshindo I Kuumba, Jackson State University",,2007,,,,,Documentation image or catalog figure included in the public-facing JSU art database.,Documentation,,,,JSU Department of Art collection catalog,Fig. 47,Documentation Image,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll112,JSUART-2000-003,catalog-thumbs/fig-049_lester-julian-merriweather-to-maximize-profits-2000-assemblage-mixed-media-on-canvas.png,,,To Maximize Profits,Lester Julian Merriweather,2000,,Assemblage and mixed media on canvas,48 x 36 in,,Documentation image or catalog figure included in the public-facing JSU art database.,,,,,JSU Department of Art collection catalog,Fig. 49,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll113,JSUART-2000-004,catalog-thumbs/fig-050_lester-julian-merriweather-america-s-pastime-2000-assemblage-mixed-media-on-canvas.png,,,America’s Pastime,Lester Julian Merriweather,2000,,Assemblage and mixed media on canvas,48 x 48 in,,Documentation image or catalog figure included in the public-facing JSU art database.,,,,,JSU Department of Art collection catalog,Fig. 50,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll114,JSUART-2000-005,catalog-thumbs/fig-051_lester-julian-merriweather-dans-ce-cas-2000-oil-on-canvas-72-x-72-in.png,,,Dans Ce Cas,Lester Julian Merriweather,2000,,Oil on canvas,72 x 72 in,,Documentation image or catalog figure included in the public-facing JSU art database.,,,,,JSU Department of Art collection catalog,Fig. 51,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll115,JSUART-2000-006,catalog-thumbs/fig-052_lester-julian-merriweather-self-portrait-twenty-eight-2000-oil-on-canvas-72-x-72-in.png,,,"Self-Portrait, Twenty-Eight",Lester Julian Merriweather,2000,,Oil on canvas,72 x 72 in,,Documentation image or catalog figure included in the public-facing JSU art database.,Portraiture,,,,JSU Department of Art collection catalog,Fig. 52,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll116,JSUART-1969-001,catalog-thumbs/fig-058_roland-freeman-peter.png,,,"Peter, East Baltimore, Maryland",Roland L. Freeman,"June 1969; negative 1969, printed 1997",,Gelatin silver print,20 x 16 in.; image: 17 1/8 x 11 1/4 in,,Documentation image or catalog figure included in the public-facing JSU art database.,Printmaking,,,,JSU Department of Art collection catalog,Fig. 58,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll117,JSUART-1985-001,catalog-thumbs/fig-059_roland-freeman-mrs-viola-allen-africatown-al-1985-gelatin-silver-print.png,,,"Mrs. Viola Allen, Africatown, Alabama",Roland L. Freeman,1985,,Gelatin silver print,20 x 16 in,,Documentation image or catalog figure included in the public-facing JSU art database.,Printmaking,,,,JSU Department of Art collection catalog,Fig. 59,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll118,JSUART-1975-001,catalog-thumbs/fig-060_roland-freeman-community-elders.png,,,"Community Elders, Mississippi",Roland L. Freeman,1975,,Gelatin silver print,16 x 20 in,,Documentation image or catalog figure included in the public-facing JSU art database.,Printmaking,,,,JSU Department of Art collection catalog,Fig. 60,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll119,JSUART-1975-002,catalog-thumbs/fig-061_roland-freeman-cigar-box-fiddler-scott-dunbar.png,,,"Cigar Box Fiddler Scott Dunbar, Mississippi",Roland L. Freeman,1975,,Gelatin silver print,16 x 20 in,,Documentation image or catalog figure included in the public-facing JSU art database.,Printmaking,,,,JSU Department of Art collection catalog,Fig. 61,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll120,JSUART-1973-003,catalog-thumbs/fig-062_roland-freeman-getting-acquainted.png,,,"Getting Acquainted, Sunday Afternoon in Druid Hill Park, Baltimore, Maryland",Roland L. Freeman,1973,,Gelatin silver print,20 x 16 in,,Documentation image or catalog figure included in the public-facing JSU art database.,Printmaking,,,,JSU Department of Art collection catalog,Fig. 62,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll121,JSUART-1980-006,catalog-thumbs/fig-063_roland-freeman-before-sunday-evening-service-st-helena-island-sc-1980-gelatin-silver-print.png,,,"Before Sunday Evening Service, St. Helena Island, South Carolina",Roland L. Freeman,1980,,Gelatin silver print,20 x 16 in,,Documentation image or catalog figure included in the public-facing JSU art database.,Printmaking,,,,JSU Department of Art collection catalog,Fig. 63,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll122,JSUART-1973-004,catalog-thumbs/fig-064_roland-l-freeman-shopping-on-gay-street-east-baltimore-maryland-1973-gelatin-silver-print-17-x-11-3-8.png,,,"Shopping on Gay Street, East Baltimore, Maryland",Roland L. Freeman,1973,,Gelatin silver print,17 x 11 3/8 in,,Documentation image or catalog figure included in the public-facing JSU art database.,Printmaking,,,,JSU Department of Art collection catalog,Fig. 64,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll123,JSUART-1979-005,catalog-thumbs/fig-065_roland-l-freeman-ruby-quick-wilford-streeter-and-claudie-mae-bright-in-the-sand-hills-near-bennettsville-south.png,,,"Ruby Quick, Wilford Streeter, and Claudie Mae Bright, in the Sand Hills, near Bennettsville, South Carolina",Roland L. Freeman,1979,,Gelatin silver print,16 x 20 in,,Documentation image or catalog figure included in the public-facing JSU art database.,Printmaking,,,,JSU Department of Art collection catalog,Fig. 65,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll124,JSUART-1987-002,catalog-thumbs/fig-066_mary-lovelace-o-neal-giving-a-painting-demonstration-at-jackson-state-university-jackson.png,,,"Photographer unknown, Mary Lovelace O’Neal giving a painting demonstration at Jackson State University",,1987,,Photograph,,,Documentation image or catalog figure included in the public-facing JSU art database.,Documentation,,,,JSU Department of Art collection catalog,Fig. 66,Documentation Image,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll125,JSUART-2021-041,catalog-thumbs/fig-075_ronald-schnell-group-of-figures.png,,,Group of Figures,Ronald O. Schnell,c. 1960s,,Oil on board,48 x 60 in,,Documentation image or catalog figure included in the public-facing JSU art database.,,,,,JSU Department of Art collection catalog,Fig. 75,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll126,JSUART-2021-042,catalog-thumbs/fig-076_ronald-schnell-figure-study.png,,,Figure Study,Ronald O. Schnell,c. 1960s,,Oil on board,48 x 60 in,,Documentation image or catalog figure included in the public-facing JSU art database.,,,,,JSU Department of Art collection catalog,Fig. 76,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll127,JSUART-1964-002,catalog-thumbs/fig-077_ronald-schnell-figures.png,,,Figures,Ronald O. Schnell,1964,,Oil on canvas,48 x 60 in,,Documentation image or catalog figure included in the public-facing JSU art database.,,,,,JSU Department of Art collection catalog,Fig. 77,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll128,JSUART-2021-043,catalog-thumbs/fig-081_unknown-i-am-a-man.png,,,I Am a Man,Unknown,c. 1980s,,Print and graphite,,,Documentation image or catalog figure included in the public-facing JSU art database.,Printmaking,,,,JSU Department of Art collection catalog,Fig. 81,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll129,JSUART-2021-044,catalog-thumbs/fig-089_hargreaves-ntukwana-figure-with-violin-n-d.png,,,Figure with Violin,Hargreaves Ntukwana,c. 1970s,,Mixed media on paper,14.25 x 10 in,,Documentation image or catalog figure included in the public-facing JSU art database.,,,,,JSU Department of Art collection catalog,Fig. 89,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll130,JSUART-2021-045,catalog-thumbs/fig-090_hargreaves-ntukwana-figure-with-mandolin-n-d-14-25x10.png,,,Figure with Mandolin,Hargreaves Ntukwana,c. 1970s,,Mixed media on paper,14.25 x 10 in,,Documentation image or catalog figure included in the public-facing JSU art database.,,,,,JSU Department of Art collection catalog,Fig. 90,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll131,JSUART-1400-002,catalog-thumbs/fig-093_page-from-gebedenboek-c.png,,,Page from a Gebedenboek,,c. fifteenth century,,Illuminated manuscript leaf,,,Documentation image or catalog figure included in the public-facing JSU art database.,,,,,JSU Department of Art collection catalog,Fig. 93,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll132,JSUART-1964-003,catalog-thumbs/fig-100_rodolfo-paras-perez-revelry.png,,,Revelry,Rodolfo Paras-Perez,1964,,Woodcut,28 x 22 in,,Documentation image or catalog figure included in the public-facing JSU art database.,Printmaking,,,,JSU Department of Art collection catalog,Fig. 100,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
